r,t,y,AnnualVariableOperatingCost
RE1,MINBIO,2015,44.2626
RE1,MINBIO,2016,44.327
RE1,MINBIO,2017,165.4957
RE1,MINBIO,2018,286.668
RE1,MINBIO,2019,407.8441
RE1,MINBIO,2020,529.0243
RE1,MINBIO,2021,535.7596
RE1,MINBIO,2022,557.5058
RE1,MINBIO,2023,599.4122
RE1,MINBIO,2024,615.205
RE1,MINBIO,2025,623.2244
RE1,MINBIO,2026,634.2543
RE1,MINBIO,2027,643.72
RE1,MINBIO,2028,653.3862
RE1,MINBIO,2029,663.272
RE1,MINBIO,2030,673.3966
RE1,MINBIO,2031,665.8451
RE1,MINBIO,2032,659.5365
RE1,MINBIO,2033,654.3428
RE1,MINBIO,2034,650.1644
RE1,MINBIO,2035,676.3146
RE1,MINBIO,2036,682.6397
RE1,MINBIO,2037,689.2821
RE1,MINBIO,2038,696.2866
RE1,MINBIO,2039,703.6983
RE1,MINBIO,2040,711.5627
RE1,MINBIO,2041,715.7491
RE1,MINBIO,2042,720.046
RE1,MINBIO,2043,724.8844
RE1,MINBIO,2044,728.4643
RE1,MINBIO,2045,729.8012
RE1,MINBIO,2046,738.7977
RE1,MINBIO,2047,739.8404
RE1,MINBIO,2048,743.9933
RE1,MINBIO,2049,744.924
RE1,MINBIO,2050,733.2456
RE1,MINBIO,2051,809.9776
RE1,MINBIO,2052,812.38
RE1,MINBIO,2053,815.0376
RE1,MINBIO,2054,817.921
RE1,MINBIO,2055,821.0424
RE1,MINBIO,2056,824.4362
RE1,MINBIO,2057,828.109
RE1,MINBIO,2058,832.1244
RE1,MINBIO,2059,836.4338
RE1,MINBIO,2060,841.0456
RE1,MINBIO,2061,843.183
RE1,MINBIO,2062,846.1077
RE1,MINBIO,2063,849.2467
RE1,MINBIO,2064,852.5739
RE1,MINBIO,2065,856.8912
RE1,MINBIO,2066,859.7405
RE1,MINBIO,2067,863.6129
RE1,MINBIO,2068,868.6078
RE1,MINBIO,2069,877.733
RE1,MINBIO,2070,851.3961
RE1,IMPCOA,2015,39.7064
RE1,IMPCOA,2016,42.1738
RE1,IMPCOA,2017,44.7917
RE1,IMPCOA,2018,47.5689
RE1,IMPCOA,2019,50.5152
RE1,IMPCOA,2020,53.6405
RE1,IMPCOA,2021,56.1351
RE1,IMPCOA,2022,103.4572
RE1,IMPCOA,2023,106.4936
RE1,IMPCOA,2024,109.6351
RE1,IMPCOA,2025,112.8865
RE1,IMPCOA,2026,116.1823
RE1,IMPCOA,2027,73.1359
RE1,IMPCOA,2028,76.3243
RE1,IMPCOA,2029,79.6396
RE1,IMPCOA,2030,83.0873
RE1,IMPCOA,2031,84.9781
RE1,IMPCOA,2032,87.0234
RE1,IMPCOA,2033,89.2173
RE1,IMPCOA,2034,91.5558
RE1,IMPCOA,2035,98.3085
RE1,IMPCOA,2036,102.3676
RE1,IMPCOA,2037,106.5695
RE1,IMPCOA,2038,110.9207
RE1,IMPCOA,2039,115.4276
RE1,IMPCOA,2040,120.0969
RE1,IMPCOA,2041,123.1945
RE1,IMPCOA,2042,126.3556
RE1,IMPCOA,2043,129.583
RE1,IMPCOA,2044,132.8792
RE1,IMPCOA,2045,136.2467
RE1,IMPCOA,2046,139.0919
RE1,IMPCOA,2047,142.0241
RE1,IMPCOA,2048,145.0434
RE1,IMPCOA,2049,148.1503
RE1,IMPCOA,2050,151.3454
RE1,IMPCOA,2051,153.8364
RE1,IMPCOA,2052,156.3679
RE1,IMPCOA,2053,158.9406
RE1,IMPCOA,2054,161.555
RE1,IMPCOA,2055,164.212
RE1,IMPCOA,2056,166.9121
RE1,IMPCOA,2057,169.656
RE1,IMPCOA,2058,172.4447
RE1,IMPCOA,2059,175.2789
RE1,IMPCOA,2060,178.1594
RE1,IMPCOA,2061,180.4847
RE1,IMPCOA,2062,182.8403
RE1,IMPCOA,2063,185.2267
RE1,IMPCOA,2064,187.6444
RE1,IMPCOA,2065,190.094
RE1,IMPCOA,2066,192.5761
RE1,IMPCOA,2067,195.0912
RE1,IMPCOA,2068,197.6396
RE1,IMPCOA,2069,200.2222
RE1,IMPCOA,2070,202.8394
RE1,IMPLFO,2015,3219.1565
RE1,IMPLFO,2016,2664.9648
RE1,IMPLFO,2017,2296.3539
RE1,IMPLFO,2018,3065.0823
RE1,IMPLFO,2019,3849.8074
RE1,IMPLFO,2020,3877.6112
RE1,IMPLFO,2021,3718.7147
RE1,IMPLFO,2022,3569.8988
RE1,IMPLFO,2023,3414.2993
RE1,IMPLFO,2024,3260.5391
RE1,IMPLFO,2025,3097.3333
RE1,IMPLFO,2026,3228.3465
RE1,IMPLFO,2027,3421.7735
RE1,IMPLFO,2028,3624.5446
RE1,IMPLFO,2029,3837.0887
RE1,IMPLFO,2030,4059.8509
RE1,IMPLFO,2031,4198.5393
RE1,IMPLFO,2032,4346.3276
RE1,IMPLFO,2033,4503.1315
RE1,IMPLFO,2034,4668.9457
RE1,IMPLFO,2035,5060.3169
RE1,IMPLFO,2036,5321.2196
RE1,IMPLFO,2037,5592.9933
RE1,IMPLFO,2038,5876.1205
RE1,IMPLFO,2039,6171.0955
RE1,IMPLFO,2040,6478.4238
RE1,IMPLFO,2041,6749.3539
RE1,IMPLFO,2042,7029.0401
RE1,IMPLFO,2043,7317.7996
RE1,IMPLFO,2044,7615.9396
RE1,IMPLFO,2045,7919.001
RE1,IMPLFO,2046,7698.4079
RE1,IMPLFO,2047,7473.4263
RE1,IMPLFO,2048,7244.289
RE1,IMPLFO,2049,7011.2431
RE1,IMPLFO,2050,6695.7512
RE1,IMPLFO,2051,2639.3474
RE1,IMPLFO,2052,2226.1602
RE1,IMPLFO,2053,1802.7803
RE1,IMPLFO,2054,1369.2948
RE1,IMPLFO,2055,925.307
RE1,IMPLFO,2056,472.1306
RE1,IMPLFO,2057,9.1267
RE1,IMPNGS,2065,214.2297
RE1,IMPNGS,2066,1260.7316
RE1,IMPNGS,2067,1325.2545
RE1,IMPNGS,2068,1383.6085
RE1,IMPNGS,2069,1446.0307
RE1,IMPNGS,2070,487.7927
RE1,MINNGS,2024,46.7277
RE1,MINNGS,2025,47.5817
RE1,MINNGS,2026,72.3001
RE1,MINNGS,2027,107.7516
RE1,MINNGS,2028,135.7598
RE1,MINNGS,2029,166.0277
RE1,MINNGS,2030,198.7512
RE1,MINNGS,2031,223.4274
RE1,MINNGS,2032,229.2634
RE1,MINNGS,2033,237.2355
RE1,MINNGS,2034,247.4605
RE1,MINNGS,2035,298.7152
RE1,MINNGS,2036,328.6981
RE1,MINNGS,2037,362.2206
RE1,MINNGS,2038,348.1604
RE1,MINNGS,2039,289.9546
RE1,MINNGS,2040,233.8632
RE1,MINNGS,2041,234.7717
RE1,MINNGS,2042,237.143
RE1,MINNGS,2043,237.5493
RE1,MINNGS,2044,237.957
RE1,MINNGS,2045,244.5207
RE1,MINNGS,2046,277.2618
RE1,MINNGS,2047,296.6122
RE1,MINNGS,2048,305.0308
RE1,MINNGS,2049,325.8456
RE1,MINNGS,2050,348.1185
RE1,MINNGS,2051,729.5752
RE1,MINNGS,2052,823.6686
RE1,MINNGS,2053,916.4227
RE1,MINNGS,2054,981.2091
RE1,MINNGS,2055,1029.4683
RE1,MINNGS,2056,1078.8605
RE1,MINNGS,2057,1129.4165
RE1,MINNGS,2058,1136.7232
RE1,MINNGS,2059,1143.964
RE1,MINNGS,2060,1152.8905
RE1,MINNGS,2061,1143.9531
RE1,MINNGS,2062,1132.8124
RE1,MINNGS,2063,1124.6765
RE1,MINNGS,2064,1110.5855
RE1,MINNGS,2065,897.6127
RE1,MINSOL,2015,0.0
RE1,MINSOL,2017,0.0
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0003
RE1,MINSOL,2025,0.0007
RE1,MINSOL,2026,0.0007
RE1,MINSOL,2027,0.0008
RE1,MINSOL,2028,0.0008
RE1,MINSOL,2029,0.0009
RE1,MINSOL,2030,0.0009
RE1,MINSOL,2031,0.0009
RE1,MINSOL,2032,0.001
RE1,MINSOL,2033,0.001
RE1,MINSOL,2034,0.0011
RE1,MINSOL,2035,0.0012
RE1,MINSOL,2036,0.0012
RE1,MINSOL,2037,0.0013
RE1,MINSOL,2038,0.0016
RE1,MINSOL,2039,0.0021
RE1,MINSOL,2040,0.0027
RE1,MINSOL,2041,0.0029
RE1,MINSOL,2042,0.0031
RE1,MINSOL,2043,0.0033
RE1,MINSOL,2044,0.0036
RE1,MINSOL,2045,0.0039
RE1,MINSOL,2046,0.0045
RE1,MINSOL,2047,0.005
RE1,MINSOL,2048,0.0054
RE1,MINSOL,2049,0.0054
RE1,MINSOL,2050,0.0057
RE1,MINSOL,2051,0.0068
RE1,MINSOL,2052,0.0072
RE1,MINSOL,2053,0.0076
RE1,MINSOL,2054,0.0079
RE1,MINSOL,2055,0.008
RE1,MINSOL,2056,0.0081
RE1,MINSOL,2057,0.0082
RE1,MINSOL,2058,0.0085
RE1,MINSOL,2059,0.0089
RE1,MINSOL,2060,0.0093
RE1,MINSOL,2061,0.0097
RE1,MINSOL,2062,0.01
RE1,MINSOL,2063,0.0104
RE1,MINSOL,2064,0.0106
RE1,MINSOL,2065,0.0108
RE1,MINSOL,2066,0.0107
RE1,MINSOL,2067,0.0107
RE1,MINSOL,2068,0.0106
RE1,MINSOL,2069,0.0104
RE1,MINSOL,2070,0.0111
RE1,MINWND,2032,0.0001
RE1,MINWND,2033,0.0002
RE1,MINWND,2034,0.0004
RE1,MINWND,2035,0.0005
RE1,MINWND,2036,0.0006
RE1,MINWND,2037,0.0007
RE1,MINWND,2038,0.0008
RE1,MINWND,2039,0.0009
RE1,MINWND,2040,0.0011
RE1,MINWND,2041,0.0012
RE1,MINWND,2042,0.0013
RE1,MINWND,2043,0.0014
RE1,MINWND,2044,0.0015
RE1,MINWND,2045,0.0016
RE1,MINWND,2046,0.0018
RE1,MINWND,2047,0.0021
RE1,MINWND,2048,0.0028
RE1,MINWND,2049,0.0038
RE1,MINWND,2050,0.0044
RE1,MINWND,2051,0.0055
RE1,MINWND,2052,0.0056
RE1,MINWND,2053,0.0057
RE1,MINWND,2054,0.0061
RE1,MINWND,2055,0.0067
RE1,MINWND,2056,0.0074
RE1,MINWND,2057,0.0081
RE1,MINWND,2058,0.0082
RE1,MINWND,2059,0.0083
RE1,MINWND,2060,0.0084
RE1,MINWND,2061,0.0084
RE1,MINWND,2062,0.0086
RE1,MINWND,2063,0.0087
RE1,MINWND,2064,0.0089
RE1,MINWND,2065,0.0093
RE1,MINWND,2066,0.0096
RE1,MINWND,2067,0.0098
RE1,MINWND,2068,0.0101
RE1,MINWND,2069,0.0104
RE1,MINWND,2070,0.0136
RE1,MINHYD,2015,0.0005
RE1,MINHYD,2016,0.0005
RE1,MINHYD,2017,0.0006
RE1,MINHYD,2018,0.0004
RE1,MINHYD,2019,0.0005
RE1,MINHYD,2020,0.0005
RE1,MINHYD,2021,0.0012
RE1,MINHYD,2022,0.0013
RE1,MINHYD,2023,0.0013
RE1,MINHYD,2024,0.0013
RE1,MINHYD,2025,0.0013
RE1,MINHYD,2026,0.0013
RE1,MINHYD,2027,0.0013
RE1,MINHYD,2028,0.0013
RE1,MINHYD,2029,0.0013
RE1,MINHYD,2030,0.0013
RE1,MINHYD,2031,0.0013
RE1,MINHYD,2032,0.0013
RE1,MINHYD,2033,0.0013
RE1,MINHYD,2034,0.0013
RE1,MINHYD,2035,0.0013
RE1,MINHYD,2036,0.0013
RE1,MINHYD,2037,0.0013
RE1,MINHYD,2038,0.0013
RE1,MINHYD,2039,0.0013
RE1,MINHYD,2040,0.0013
RE1,MINHYD,2041,0.0013
RE1,MINHYD,2042,0.0013
RE1,MINHYD,2043,0.0013
RE1,MINHYD,2044,0.0013
RE1,MINHYD,2045,0.0013
RE1,MINHYD,2046,0.0013
RE1,MINHYD,2047,0.0013
RE1,MINHYD,2048,0.0013
RE1,MINHYD,2049,0.0013
RE1,MINHYD,2050,0.0013
RE1,MINHYD,2051,0.0013
RE1,MINHYD,2052,0.0013
RE1,MINHYD,2053,0.0013
RE1,MINHYD,2054,0.0013
RE1,MINHYD,2055,0.0013
RE1,MINHYD,2056,0.0013
RE1,MINHYD,2057,0.0013
RE1,MINHYD,2058,0.0013
RE1,MINHYD,2059,0.0013
RE1,MINHYD,2060,0.0013
RE1,MINHYD,2061,0.0013
RE1,MINHYD,2062,0.0013
RE1,MINHYD,2063,0.0013
RE1,MINHYD,2064,0.0013
RE1,MINHYD,2065,0.0013
RE1,MINHYD,2066,0.0013
RE1,MINHYD,2067,0.0013
RE1,MINHYD,2068,0.0013
RE1,MINHYD,2069,0.0013
RE1,MINHYD,2070,0.0013
RE1,PWRBIO001,2022,0.0003
RE1,PWRBIO001,2023,0.0011
RE1,PWRBIO001,2024,0.0013
RE1,PWRBIO001,2025,0.0013
RE1,PWRBIO001,2026,0.0014
RE1,PWRBIO001,2027,0.0015
RE1,PWRBIO001,2028,0.0016
RE1,PWRBIO001,2029,0.0017
RE1,PWRBIO001,2030,0.0018
RE1,PWRBIO001,2031,0.0019
RE1,PWRBIO001,2032,0.0019
RE1,PWRBIO001,2033,0.002
RE1,PWRBIO001,2034,0.0021
RE1,PWRBIO001,2035,0.0023
RE1,PWRBIO001,2036,0.0024
RE1,PWRBIO001,2037,0.0026
RE1,PWRBIO001,2038,0.0027
RE1,PWRBIO001,2039,0.0029
RE1,PWRBIO001,2040,0.0031
RE1,PWRBIO001,2041,0.0032
RE1,PWRBIO001,2042,0.0034
RE1,PWRBIO001,2043,0.0036
RE1,PWRBIO001,2044,0.0037
RE1,PWRBIO001,2045,0.0038
RE1,PWRBIO001,2046,0.0041
RE1,PWRBIO001,2047,0.0043
RE1,PWRBIO001,2048,0.0045
RE1,PWRBIO001,2049,0.0047
RE1,PWRBIO001,2050,0.005
RE1,PWRBIO001,2051,0.0066
RE1,PWRBIO001,2052,0.0067
RE1,PWRBIO001,2053,0.0069
RE1,PWRBIO001,2054,0.0071
RE1,PWRBIO001,2055,0.0073
RE1,PWRBIO001,2056,0.0075
RE1,PWRBIO001,2057,0.0077
RE1,PWRBIO001,2058,0.0079
RE1,PWRBIO001,2059,0.0081
RE1,PWRBIO001,2060,0.0083
RE1,PWRBIO001,2061,0.0085
RE1,PWRBIO001,2062,0.0086
RE1,PWRBIO001,2063,0.0088
RE1,PWRBIO001,2064,0.009
RE1,PWRBIO001,2065,0.0091
RE1,PWRBIO001,2066,0.0093
RE1,PWRBIO001,2067,0.0095
RE1,PWRBIO001,2068,0.0097
RE1,PWRBIO001,2069,0.0099
RE1,PWRBIO001,2070,0.0096
RE1,PWRCOA001,2022,0.0003
RE1,PWRCOA001,2023,0.0003
RE1,PWRCOA001,2024,0.0003
RE1,PWRCOA001,2025,0.0003
RE1,PWRCOA001,2026,0.0003
RE1,PWRNGS001,2024,0.0003
RE1,PWRNGS001,2025,0.0003
RE1,PWRNGS001,2026,0.0004
RE1,PWRNGS001,2027,0.0006
RE1,PWRNGS001,2028,0.0008
RE1,PWRNGS001,2029,0.001
RE1,PWRNGS001,2030,0.0011
RE1,PWRNGS001,2031,0.0012
RE1,PWRNGS001,2032,0.0013
RE1,PWRNGS001,2033,0.0013
RE1,PWRNGS001,2034,0.0013
RE1,PWRNGS001,2035,0.0016
RE1,PWRNGS001,2036,0.0017
RE1,PWRNGS001,2037,0.0018
RE1,PWRNGS001,2038,0.0017
RE1,PWRNGS001,2039,0.0014
RE1,PWRNGS001,2040,0.0011
RE1,PWRNGS001,2041,0.0011
RE1,PWRNGS001,2042,0.0012
RE1,PWRNGS001,2043,0.0012
RE1,PWRNGS001,2044,0.0012
RE1,PWRNGS001,2045,0.0012
RE1,PWRNGS001,2046,0.0013
RE1,PWRNGS001,2047,0.0014
RE1,PWRNGS001,2048,0.0015
RE1,PWRNGS001,2049,0.0016
RE1,PWRNGS001,2050,0.0017
RE1,PWRNGS001,2051,0.0035
RE1,PWRNGS001,2052,0.004
RE1,PWRNGS001,2053,0.0045
RE1,PWRNGS001,2054,0.0048
RE1,PWRNGS001,2055,0.005
RE1,PWRNGS001,2056,0.0052
RE1,PWRNGS001,2057,0.0055
RE1,PWRNGS001,2058,0.0055
RE1,PWRNGS001,2059,0.0056
RE1,PWRNGS001,2060,0.0056
RE1,PWRNGS001,2061,0.0056
RE1,PWRNGS001,2062,0.0055
RE1,PWRNGS001,2063,0.0055
RE1,PWRNGS001,2064,0.0054
RE1,PWRNGS001,2065,0.0053
RE1,PWRNGS001,2066,0.0055
RE1,PWRNGS001,2067,0.0058
RE1,PWRNGS001,2068,0.006
RE1,PWRNGS001,2069,0.0063
RE1,PWRNGS001,2070,0.0021
RE1,PWRSOL001,2015,0.0
RE1,PWRSOL001,2017,0.0
RE1,PWRSOL001,2021,0.0
RE1,PWRSOL001,2022,0.0
RE1,PWRSOL001,2023,0.0
RE1,PWRSOL001,2024,0.0003
RE1,PWRSOL001,2025,0.0007
RE1,PWRSOL001,2026,0.0007
RE1,PWRSOL001,2027,0.0008
RE1,PWRSOL001,2028,0.0008
RE1,PWRSOL001,2029,0.0008
RE1,PWRSOL001,2030,0.0009
RE1,PWRSOL001,2031,0.0009
RE1,PWRSOL001,2032,0.001
RE1,PWRSOL001,2033,0.001
RE1,PWRSOL001,2034,0.001
RE1,PWRSOL001,2035,0.0011
RE1,PWRSOL001,2036,0.0012
RE1,PWRSOL001,2037,0.0013
RE1,PWRSOL001,2038,0.0014
RE1,PWRSOL001,2039,0.0015
RE1,PWRSOL001,2040,0.0015
RE1,PWRSOL001,2041,0.0016
RE1,PWRSOL001,2042,0.0017
RE1,PWRSOL001,2043,0.0018
RE1,PWRSOL001,2044,0.0019
RE1,PWRSOL001,2045,0.002
RE1,PWRSOL001,2046,0.0021
RE1,PWRSOL001,2047,0.0022
RE1,PWRSOL001,2048,0.0023
RE1,PWRSOL001,2049,0.0023
RE1,PWRSOL001,2050,0.0026
RE1,PWRSOL001,2051,0.0033
RE1,PWRSOL001,2052,0.0034
RE1,PWRSOL001,2053,0.0035
RE1,PWRSOL001,2054,0.0035
RE1,PWRSOL001,2055,0.0036
RE1,PWRSOL001,2056,0.0037
RE1,PWRSOL001,2057,0.0038
RE1,PWRSOL001,2058,0.0039
RE1,PWRSOL001,2059,0.004
RE1,PWRSOL001,2060,0.0042
RE1,PWRSOL001,2061,0.0042
RE1,PWRSOL001,2062,0.0043
RE1,PWRSOL001,2063,0.0044
RE1,PWRSOL001,2064,0.0045
RE1,PWRSOL001,2065,0.0046
RE1,PWRSOL001,2066,0.0047
RE1,PWRSOL001,2067,0.0048
RE1,PWRSOL001,2068,0.0048
RE1,PWRSOL001,2069,0.0049
RE1,PWRSOL001,2070,0.0061
RE1,PWRHYD001,2015,0.0004
RE1,PWRHYD001,2016,0.0004
RE1,PWRHYD001,2017,0.0004
RE1,PWRHYD001,2018,0.0003
RE1,PWRHYD001,2019,0.0003
RE1,PWRHYD001,2020,0.0004
RE1,PWRHYD001,2021,0.0007
RE1,PWRHYD001,2022,0.0008
RE1,PWRHYD001,2023,0.0008
RE1,PWRHYD001,2024,0.0008
RE1,PWRHYD001,2025,0.0008
RE1,PWRHYD001,2026,0.0008
RE1,PWRHYD001,2027,0.0008
RE1,PWRHYD001,2028,0.0008
RE1,PWRHYD001,2029,0.0008
RE1,PWRHYD001,2030,0.0008
RE1,PWRHYD001,2031,0.0008
RE1,PWRHYD001,2032,0.0008
RE1,PWRHYD001,2033,0.0008
RE1,PWRHYD001,2034,0.0008
RE1,PWRHYD001,2035,0.0008
RE1,PWRHYD001,2036,0.0008
RE1,PWRHYD001,2037,0.0008
RE1,PWRHYD001,2038,0.0008
RE1,PWRHYD001,2039,0.0008
RE1,PWRHYD001,2040,0.0008
RE1,PWRHYD001,2041,0.0008
RE1,PWRHYD001,2042,0.0008
RE1,PWRHYD001,2043,0.0008
RE1,PWRHYD001,2044,0.0008
RE1,PWRHYD001,2045,0.0008
RE1,PWRHYD001,2046,0.0008
RE1,PWRHYD001,2047,0.0008
RE1,PWRHYD001,2048,0.0008
RE1,PWRHYD001,2049,0.0008
RE1,PWRHYD001,2050,0.0008
RE1,PWRHYD001,2051,0.0008
RE1,PWRHYD001,2052,0.0008
RE1,PWRHYD001,2053,0.0008
RE1,PWRHYD001,2054,0.0008
RE1,PWRHYD001,2055,0.0008
RE1,PWRHYD001,2056,0.0008
RE1,PWRHYD001,2057,0.0008
RE1,PWRHYD001,2058,0.0008
RE1,PWRHYD001,2059,0.0008
RE1,PWRHYD001,2060,0.0008
RE1,PWRHYD001,2061,0.0008
RE1,PWRHYD001,2062,0.0008
RE1,PWRHYD001,2063,0.0008
RE1,PWRHYD001,2064,0.0008
RE1,PWRHYD001,2065,0.0008
RE1,PWRHYD001,2066,0.0008
RE1,PWRHYD001,2067,0.0008
RE1,PWRHYD001,2068,0.0008
RE1,PWRHYD001,2069,0.0008
RE1,PWRHYD001,2070,0.0008
RE1,PWRHYD002,2015,0.0002
RE1,PWRHYD002,2016,0.0001
RE1,PWRHYD002,2017,0.0001
RE1,PWRHYD002,2018,0.0001
RE1,PWRHYD002,2019,0.0001
RE1,PWRHYD002,2020,0.0001
RE1,PWRHYD002,2021,0.0003
RE1,PWRHYD002,2022,0.0003
RE1,PWRHYD002,2023,0.0003
RE1,PWRHYD002,2024,0.0003
RE1,PWRHYD002,2025,0.0003
RE1,PWRHYD002,2026,0.0003
RE1,PWRHYD002,2027,0.0003
RE1,PWRHYD002,2028,0.0003
RE1,PWRHYD002,2029,0.0003
RE1,PWRHYD002,2030,0.0003
RE1,PWRHYD002,2031,0.0003
RE1,PWRHYD002,2032,0.0003
RE1,PWRHYD002,2033,0.0003
RE1,PWRHYD002,2034,0.0003
RE1,PWRHYD002,2035,0.0003
RE1,PWRHYD002,2036,0.0003
RE1,PWRHYD002,2037,0.0003
RE1,PWRHYD002,2038,0.0003
RE1,PWRHYD002,2039,0.0003
RE1,PWRHYD002,2040,0.0003
RE1,PWRHYD002,2041,0.0003
RE1,PWRHYD002,2042,0.0003
RE1,PWRHYD002,2043,0.0003
