r,l,t,f,y,ProductionByTechnology
RE1,S101,MINBIO,BIO,2020,41.33
RE1,S101,IMPCOA,COA,2020,1.3147
RE1,S101,IMPLFO,LFO,2020,32.8618
RE1,S101,MINHYD,HYD,2020,0.3761
RE1,S101,PWRHYD001,COM027,2020,0.0884
RE1,S101,PWRHYD002,ELC001,2020,0.2877
RE1,S101,PWRTRNIMP,ELC001,2020,1.7063
RE1,S101,PWRTRN,ELC002,2020,1.966
RE1,S101,PWRDIST,ELC003,2020,1.8241
RE1,S101,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S101,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S101,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S101,DEMINDELC,INDELC,2020,1.8241
RE1,S101,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S101,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S101,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S101,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S101,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S101,TEC087,ELC001,2020,0.0884
RE1,S102,MINBIO,BIO,2020,41.33
RE1,S102,IMPCOA,COA,2020,1.3147
RE1,S102,IMPLFO,LFO,2020,32.8618
RE1,S102,MINHYD,HYD,2020,0.3761
RE1,S102,PWRHYD001,COM027,2020,0.0884
RE1,S102,PWRHYD002,ELC001,2020,0.2877
RE1,S102,PWRTRNIMP,ELC001,2020,1.9349
RE1,S102,PWRTRN,ELC002,2020,2.2417
RE1,S102,PWRDIST,ELC003,2020,2.0799
RE1,S102,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S102,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S102,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S102,DEMINDELC,INDELC,2020,2.0799
RE1,S102,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S102,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S102,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S102,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S102,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S102,TEC087,ELC001,2020,0.0884
RE1,S103,MINBIO,BIO,2020,41.33
RE1,S103,IMPCOA,COA,2020,1.3147
RE1,S103,IMPLFO,LFO,2020,32.8618
RE1,S103,MINHYD,HYD,2020,0.3761
RE1,S103,PWRHYD001,COM027,2020,0.1338
RE1,S103,PWRHYD002,ELC001,2020,0.2423
RE1,S103,PWRTRNIMP,ELC001,2020,1.2944
RE1,S103,PWRTRN,ELC002,2020,1.5665
RE1,S103,PWRDIST,ELC003,2020,1.4534
RE1,S103,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S103,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S103,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S103,DEMINDELC,INDELC,2020,1.4534
RE1,S103,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S103,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S103,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S103,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S103,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S103,TEC087,ELC001,2020,0.1338
RE1,S104,MINBIO,BIO,2020,41.33
RE1,S104,IMPCOA,COA,2020,1.3147
RE1,S104,IMPLFO,LFO,2020,32.8618
RE1,S104,MINHYD,HYD,2020,0.3761
RE1,S104,PWRHYD001,COM027,2020,0.1338
RE1,S104,PWRHYD002,ELC001,2020,0.2423
RE1,S104,PWRTRNIMP,ELC001,2020,1.5665
RE1,S104,PWRTRN,ELC002,2020,1.8304
RE1,S104,PWRDIST,ELC003,2020,1.6983
RE1,S104,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S104,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S104,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S104,DEMINDELC,INDELC,2020,1.6983
RE1,S104,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S104,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S104,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S104,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S104,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S104,TEC087,ELC001,2020,0.1338
RE1,S105,MINBIO,BIO,2020,41.33
RE1,S105,IMPCOA,COA,2020,1.3147
RE1,S105,IMPLFO,LFO,2020,32.8618
RE1,S105,MINHYD,HYD,2020,0.3761
RE1,S105,PWRHYD001,COM027,2020,0.228
RE1,S105,PWRHYD002,ELC001,2020,0.1481
RE1,S105,PWRTRNIMP,ELC001,2020,1.123
RE1,S105,PWRTRN,ELC002,2020,1.4001
RE1,S105,PWRDIST,ELC003,2020,1.2991
RE1,S105,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S105,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S105,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S105,DEMINDELC,INDELC,2020,1.2991
RE1,S105,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S105,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S105,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S105,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S105,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S105,TEC087,ELC001,2020,0.228
RE1,S106,MINBIO,BIO,2020,41.33
RE1,S106,IMPCOA,COA,2020,1.3147
RE1,S106,IMPLFO,LFO,2020,32.8618
RE1,S106,MINHYD,HYD,2020,0.3761
RE1,S106,PWRHYD001,COM027,2020,0.228
RE1,S106,PWRHYD002,ELC001,2020,0.1481
RE1,S106,PWRTRNIMP,ELC001,2020,1.3714
RE1,S106,PWRTRN,ELC002,2020,1.6411
RE1,S106,PWRDIST,ELC003,2020,1.5227
RE1,S106,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S106,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S106,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S106,DEMINDELC,INDELC,2020,1.5227
RE1,S106,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S106,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S106,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S106,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S106,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S106,TEC087,ELC001,2020,0.228
RE1,S107,MINBIO,BIO,2020,41.33
RE1,S107,IMPCOA,COA,2020,1.3147
RE1,S107,IMPLFO,LFO,2020,32.8618
RE1,S107,MINHYD,HYD,2020,0.3761
RE1,S107,PWRHYD001,COM027,2020,0.1974
RE1,S107,PWRHYD002,ELC001,2020,0.1787
RE1,S107,PWRTRNIMP,ELC001,2020,1.5664
RE1,S107,PWRTRN,ELC002,2020,1.8303
RE1,S107,PWRDIST,ELC003,2020,1.6982
RE1,S107,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S107,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S107,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S107,DEMINDELC,INDELC,2020,1.6982
RE1,S107,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S107,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S107,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S107,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S107,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S107,TEC087,ELC001,2020,0.1974
RE1,S108,MINBIO,BIO,2020,41.33
RE1,S108,IMPCOA,COA,2020,1.3147
RE1,S108,IMPLFO,LFO,2020,32.8618
RE1,S108,MINHYD,HYD,2020,0.3761
RE1,S108,PWRHYD001,COM027,2020,0.1974
RE1,S108,PWRHYD002,ELC001,2020,0.1787
RE1,S108,PWRTRNIMP,ELC001,2020,1.8531
RE1,S108,PWRTRN,ELC002,2020,2.1084
RE1,S108,PWRDIST,ELC003,2020,1.9562
RE1,S108,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S108,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S108,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S108,DEMINDELC,INDELC,2020,1.9562
RE1,S108,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S108,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S108,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S108,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S108,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S108,TEC087,ELC001,2020,0.1974
RE1,S101,MINBIO,BIO,2030,52.6091
RE1,S101,IMPCOA,COA,2030,1.8883
RE1,S101,IMPLFO,LFO,2030,29.419
RE1,S101,MINNGS,NGS,2030,5.3478
RE1,S101,MINSOL,SOL,2030,0.0058
RE1,S101,MINWND,WND,2030,0.0274
RE1,S101,MINHYD,HYD,2030,2.2519
RE1,S101,PWRBIO001,COM027,2030,2.2271
RE1,S101,PWRNGS001,ELC001,2030,2.5711
RE1,S101,PWRHYD001,COM027,2030,1.3566
RE1,S101,PWRHYD002,ELC001,2030,0.52
RE1,S101,PWRHYD003,ELC001,2030,0.3378
RE1,S101,PWRWND001,COM027,2030,0.0274
RE1,S101,PWRSOL001S,COM027,2030,0.3123
RE1,S101,PWRTRNIMP,ELC001,2030,1.552
RE1,S101,PWRTRN,ELC002,2030,8.6371
RE1,S101,PWRDIST,ELC003,2030,8.1028
RE1,S101,PWRSOL002,ELC003,2030,0.0058
RE1,S101,PWRHYD004,ELC003,2030,0.0375
RE1,S101,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S101,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S101,DEMTRACARGSL,TRACAR,2030,0.6294
RE1,S101,DEMTRABUSGSL,TRABUS,2030,6.568
RE1,S101,DEMINDELC,INDELC,2030,3.6729
RE1,S101,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S101,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S101,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S101,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S101,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S101,TEC087,ELC001,2030,3.9233
RE1,S102,MINBIO,BIO,2030,52.6091
RE1,S102,IMPCOA,COA,2030,1.8883
RE1,S102,IMPLFO,LFO,2030,29.419
RE1,S102,MINNGS,NGS,2030,0.989
RE1,S102,MINSOL,SOL,2030,2.2209
RE1,S102,MINWND,WND,2030,0.0251
RE1,S102,MINHYD,HYD,2030,2.2519
RE1,S102,PWRBIO001,COM027,2030,2.2271
RE1,S102,PWRNGS001,ELC001,2030,0.4755
RE1,S102,PWRSOL001,COM027,2030,2.1859
RE1,S102,PWRHYD001,COM027,2030,1.3566
RE1,S102,PWRHYD002,ELC001,2030,0.52
RE1,S102,PWRHYD003,ELC001,2030,0.3378
RE1,S102,PWRWND001,COM027,2030,0.0251
RE1,S102,PWRSOL001S,COM027,2030,1.8736
RE1,S102,PWRTRN,ELC002,2030,8.6371
RE1,S102,PWRDIST,ELC003,2030,8.1028
RE1,S102,PWRSOL002,ELC003,2030,0.035
RE1,S102,PWRHYD004,ELC003,2030,0.0375
RE1,S102,DEMTRAEVC,ELCEV,2030,3.5922
RE1,S102,DEMTRAMCYELC,TRAMCY,2030,3.2362
RE1,S102,DEMTRACARGSL,TRACAR,2030,0.6294
RE1,S102,DEMTRABUSGSL,TRABUS,2030,6.568
RE1,S102,DEMINDELC,INDELC,2030,4.188
RE1,S102,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S102,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S102,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S102,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S102,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S102,TEC087,ELC001,2030,7.6683
RE1,S103,MINBIO,BIO,2030,52.6091
RE1,S103,IMPCOA,COA,2030,1.8883
RE1,S103,IMPLFO,LFO,2030,29.419
RE1,S103,MINNGS,NGS,2030,5.3478
RE1,S103,MINSOL,SOL,2030,0.0058
RE1,S103,MINWND,WND,2030,0.0258
RE1,S103,MINHYD,HYD,2030,1.8964
RE1,S103,PWRBIO001,COM027,2030,2.2271
RE1,S103,PWRNGS001,ELC001,2030,2.5711
RE1,S103,PWRHYD001,COM027,2030,1.1424
RE1,S103,PWRHYD002,ELC001,2030,0.4379
RE1,S103,PWRHYD003,ELC001,2030,0.2845
RE1,S103,PWRWND001,COM027,2030,0.0258
RE1,S103,PWRSOL001S,COM027,2030,0.3113
RE1,S103,PWRTRNIMP,ELC001,2030,1.0905
RE1,S103,PWRTRN,ELC002,2030,7.8477
RE1,S103,PWRDIST,ELC003,2030,7.3623
RE1,S103,PWRSOL002,ELC003,2030,0.0058
RE1,S103,PWRHYD004,ELC003,2030,0.0316
RE1,S103,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S103,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S103,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S103,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S103,DEMINDELC,INDELC,2030,2.9265
RE1,S103,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S103,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S103,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S103,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S103,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S103,TEC087,ELC001,2030,3.7065
RE1,S104,MINBIO,BIO,2030,52.6091
RE1,S104,IMPCOA,COA,2030,1.8883
RE1,S104,IMPLFO,LFO,2030,29.419
RE1,S104,MINNGS,NGS,2030,1.1195
RE1,S104,MINSOL,SOL,2030,2.2137
RE1,S104,MINWND,WND,2030,0.0213
RE1,S104,MINHYD,HYD,2030,1.8964
RE1,S104,PWRBIO001,COM027,2030,2.2271
RE1,S104,PWRNGS001,ELC001,2030,0.5382
RE1,S104,PWRSOL001,COM027,2030,2.1788
RE1,S104,PWRHYD001,COM027,2030,1.1424
RE1,S104,PWRHYD002,ELC001,2030,0.4379
RE1,S104,PWRHYD003,ELC001,2030,0.2845
RE1,S104,PWRWND001,COM027,2030,0.0213
RE1,S104,PWRSOL001S,COM027,2030,1.8675
RE1,S104,PWRTRN,ELC002,2030,8.3424
RE1,S104,PWRDIST,ELC003,2030,7.8264
RE1,S104,PWRSOL002,ELC003,2030,0.0349
RE1,S104,PWRHYD004,ELC003,2030,0.0316
RE1,S104,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S104,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S104,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S104,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S104,DEMINDELC,INDELC,2030,3.4196
RE1,S104,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S104,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S104,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S104,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S104,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S104,TEC087,ELC001,2030,7.4372
RE1,S105,MINBIO,BIO,2030,52.6091
RE1,S105,IMPCOA,COA,2030,1.8883
RE1,S105,IMPLFO,LFO,2030,29.419
RE1,S105,MINNGS,NGS,2030,5.3478
RE1,S105,MINSOL,SOL,2030,0.0057
RE1,S105,MINWND,WND,2030,0.0394
RE1,S105,MINHYD,HYD,2030,1.1593
RE1,S105,PWRBIO001,COM027,2030,2.2271
RE1,S105,PWRNGS001,ELC001,2030,2.5711
RE1,S105,PWRHYD001,COM027,2030,0.6984
RE1,S105,PWRHYD002,ELC001,2030,0.2677
RE1,S105,PWRHYD003,ELC001,2030,0.1739
RE1,S105,PWRWND001,COM027,2030,0.0394
RE1,S105,PWRSOL001S,COM027,2030,0.3078
RE1,S105,PWRTRNIMP,ELC001,2030,1.4772
RE1,S105,PWRTRN,ELC002,2030,7.5297
RE1,S105,PWRDIST,ELC003,2030,7.0639
RE1,S105,PWRSOL002,ELC003,2030,0.0057
RE1,S105,PWRHYD004,ELC003,2030,0.0193
RE1,S105,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S105,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S105,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S105,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S105,DEMINDELC,INDELC,2030,2.6158
RE1,S105,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S105,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S105,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S105,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S105,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S105,TEC087,ELC001,2030,3.2727
RE1,S106,MINBIO,BIO,2030,52.6091
RE1,S106,IMPCOA,COA,2030,1.8883
RE1,S106,IMPLFO,LFO,2030,29.419
RE1,S106,MINNGS,NGS,2030,1.9197
RE1,S106,MINSOL,SOL,2030,2.1894
RE1,S106,MINWND,WND,2030,0.0311
RE1,S106,MINHYD,HYD,2030,1.1593
RE1,S106,PWRBIO001,COM027,2030,2.2271
RE1,S106,PWRNGS001,ELC001,2030,0.9229
RE1,S106,PWRSOL001,COM027,2030,2.1549
RE1,S106,PWRHYD001,COM027,2030,0.6984
RE1,S106,PWRHYD002,ELC001,2030,0.2677
RE1,S106,PWRHYD003,ELC001,2030,0.1739
RE1,S106,PWRWND001,COM027,2030,0.0311
RE1,S106,PWRSOL001S,COM027,2030,1.8471
RE1,S106,PWRTRN,ELC002,2030,7.9789
RE1,S106,PWRDIST,ELC003,2030,7.4854
RE1,S106,PWRSOL002,ELC003,2030,0.0345
RE1,S106,PWRHYD004,ELC003,2030,0.0193
RE1,S106,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S106,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S106,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S106,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S106,DEMINDELC,INDELC,2030,3.066
RE1,S106,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S106,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S106,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S106,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S106,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S106,TEC087,ELC001,2030,6.9586
RE1,S107,MINBIO,BIO,2030,52.6091
RE1,S107,IMPCOA,COA,2030,1.8883
RE1,S107,IMPLFO,LFO,2030,29.419
RE1,S107,MINNGS,NGS,2030,5.3478
RE1,S107,MINSOL,SOL,2030,0.0064
RE1,S107,MINWND,WND,2030,0.0376
RE1,S107,MINHYD,HYD,2030,1.3985
RE1,S107,PWRBIO001,COM027,2030,2.2271
RE1,S107,PWRNGS001,ELC001,2030,2.5711
RE1,S107,PWRHYD001,COM027,2030,0.8425
RE1,S107,PWRHYD002,ELC001,2030,0.323
RE1,S107,PWRHYD003,ELC001,2030,0.2098
RE1,S107,PWRWND001,COM027,2030,0.0376
RE1,S107,PWRSOL001S,COM027,2030,0.3412
RE1,S107,PWRTRNIMP,ELC001,2030,2.0883
RE1,S107,PWRTRN,ELC002,2030,8.3813
RE1,S107,PWRDIST,ELC003,2030,7.8629
RE1,S107,PWRSOL002,ELC003,2030,0.0064
RE1,S107,PWRHYD004,ELC003,2030,0.0233
RE1,S107,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S107,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S107,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S107,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S107,DEMINDELC,INDELC,2030,3.4193
RE1,S107,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S107,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S107,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S107,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S107,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S107,TEC087,ELC001,2030,3.4484
RE1,S108,MINBIO,BIO,2030,52.6091
RE1,S108,IMPCOA,COA,2030,1.8883
RE1,S108,IMPLFO,LFO,2030,29.419
RE1,S108,MINNGS,NGS,2030,1.9336
RE1,S108,MINSOL,SOL,2030,2.4269
RE1,S108,MINWND,WND,2030,0.0336
RE1,S108,MINHYD,HYD,2030,1.3985
RE1,S108,PWRBIO001,COM027,2030,2.2271
RE1,S108,PWRNGS001,ELC001,2030,0.9296
RE1,S108,PWRSOL001,COM027,2030,2.3887
RE1,S108,PWRHYD001,COM027,2030,0.8425
RE1,S108,PWRHYD002,ELC001,2030,0.323
RE1,S108,PWRHYD003,ELC001,2030,0.2098
RE1,S108,PWRWND001,COM027,2030,0.0336
RE1,S108,PWRSOL001S,COM027,2030,2.0474
RE1,S108,PWRTRN,ELC002,2030,8.6371
RE1,S108,PWRDIST,ELC003,2030,8.1028
RE1,S108,PWRSOL002,ELC003,2030,0.0382
RE1,S108,PWRHYD004,ELC003,2030,0.0233
RE1,S108,DEMTRAEVC,ELCEV,2030,3.8068
RE1,S108,DEMTRAMCYELC,TRAMCY,2030,3.4295
RE1,S108,DEMTRACARGSL,TRACAR,2030,1.2132
RE1,S108,DEMTRABUSGSL,TRABUS,2030,5.8382
RE1,S108,DEMINDELC,INDELC,2030,3.9389
RE1,S108,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S108,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S108,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S108,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S108,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S108,TEC087,ELC001,2030,7.5392
RE1,S101,MINBIO,BIO,2040,55.5908
RE1,S101,IMPCOA,COA,2040,2.5444
RE1,S101,IMPLFO,LFO,2040,39.6403
RE1,S101,MINNGS,NGS,2040,10.6068
RE1,S101,MINSOL,SOL,2040,0.3618
RE1,S101,MINWND,WND,2040,1.6523
RE1,S101,MINHYD,HYD,2040,2.2519
RE1,S101,PWRBIO001,COM027,2040,3.8595
RE1,S101,PWRNGS001,ELC001,2040,5.0994
RE1,S101,PWRHYD001,COM027,2040,1.3566
RE1,S101,PWRHYD002,ELC001,2040,0.52
RE1,S101,PWRHYD003,ELC001,2040,0.3378
RE1,S101,PWRWND001,COM027,2040,1.6523
RE1,S101,PWRSOL001S,COM027,2040,0.5412
RE1,S101,PWRTRN,ELC002,2040,12.9657
RE1,S101,PWRDIST,ELC003,2040,12.2973
RE1,S101,PWRSOL002,ELC003,2040,0.3618
RE1,S101,PWRHYD004,ELC003,2040,0.0375
RE1,S101,DEMTRAEVC,ELCEV,2040,3.595
RE1,S101,DEMTRAMCYELC,TRAMCY,2040,3.2387
RE1,S101,DEMTRACARGSL,TRACAR,2040,5.436
RE1,S101,DEMTRABUSGSL,TRABUS,2040,3.115
RE1,S101,DEMINDELC,INDELC,2040,8.7063
RE1,S101,DEMINDHECOA,INDHEH,2040,2.061
RE1,S101,DEMINDHEBIO,INDHEL,2040,1.8757
RE1,S101,DEMRESCKNBIO,RESCKN,2040,6.9517
RE1,S101,DEMRESHEBIO,RESHEL,2040,2.9793
RE1,S101,DEMCOMHEBIO,COMHEL,2040,0.0411
RE1,S101,TEC087,ELC001,2040,7.4094
RE1,S102,MINBIO,BIO,2040,55.5908
RE1,S102,IMPCOA,COA,2040,2.5444
RE1,S102,IMPLFO,LFO,2040,39.6403
RE1,S102,MINSOL,SOL,2040,5.9589
RE1,S102,MINWND,WND,2040,1.5131
RE1,S102,MINHYD,HYD,2040,2.2519
RE1,S102,PWRBIO001,COM027,2040,3.8595
RE1,S102,PWRSOL001,COM027,2040,3.7881
RE1,S102,PWRHYD001,COM027,2040,1.3566
RE1,S102,PWRHYD002,ELC001,2040,0.52
RE1,S102,PWRHYD003,ELC001,2040,0.3378
RE1,S102,PWRWND001,COM027,2040,1.5131
RE1,S102,PWRSOL001S,COM027,2040,3.247
